"run","randomSeed","numTanksBlue","default_observer_minPycor","default_observer_maxPycor","numSoldierBlue","default_observer_maxPxcor","numRidersBlue","default_observer_minPxcor","numTanksRed","numRidersRed","numSoldierRed"
1,2059098151,0,-16,16,0,16,0,-16,0,0,0
2,2059099120,0,-16,16,0,16,0,-16,0,0,10
3,2059099276,0,-16,16,0,16,0,-16,0,0,20
4,2059099432,0,-16,16,0,16,0,-16,0,10,0
5,2059099542,0,-16,16,0,16,0,-16,0,10,10
6,2059099667,0,-16,16,0,16,0,-16,0,10,20
7,2059099761,0,-16,16,0,16,0,-16,0,20,0
8,2059099886,0,-16,16,0,16,0,-16,0,20,10
9,2059099964,0,-16,16,0,16,0,-16,0,20,20
10,2059100057,0,-16,16,0,16,0,-16,10,0,0
11,2059100167,0,-16,16,0,16,0,-16,10,0,10
12,2059100261,0,-16,16,0,16,0,-16,10,0,20
13,2059100370,0,-16,16,0,16,0,-16,10,10,0
14,2059100464,0,-16,16,0,16,0,-16,10,10,10
15,2059100557,0,-16,16,0,16,0,-16,10,10,20
16,2059100651,0,-16,16,0,16,0,-16,10,20,0
17,2059100745,0,-16,16,0,16,0,-16,10,20,10
18,2059100823,0,-16,16,0,16,0,-16,10,20,20
19,2059100901,0,-16,16,0,16,0,-16,20,0,0
20,2059100979,0,-16,16,0,16,0,-16,20,0,10
21,2059101057,0,-16,16,0,16,0,-16,20,0,20
22,2059101136,0,-16,16,0,16,0,-16,20,10,0
23,2059101214,0,-16,16,0,16,0,-16,20,10,10
24,2059101276,0,-16,16,0,16,0,-16,20,10,20
25,2059101339,0,-16,16,0,16,0,-16,20,20,0
26,2059101417,0,-16,16,0,16,0,-16,20,20,10
27,2059101495,0,-16,16,0,16,0,-16,20,20,20
28,2059101558,0,-16,16,0,16,10,-16,0,0,0
29,2059101620,0,-16,16,0,16,10,-16,0,0,10
30,2059101698,0,-16,16,0,16,10,-16,0,0,20
31,2059101761,0,-16,16,0,16,10,-16,0,10,0
32,2059101839,0,-16,16,0,16,10,-16,0,10,10
33,2059101917,0,-16,16,0,16,10,-16,0,10,20
34,2059101995,0,-16,16,0,16,10,-16,0,20,0
35,2059102057,0,-16,16,0,16,10,-16,0,20,10
36,2059102136,0,-16,16,0,16,10,-16,0,20,20
37,2059102198,0,-16,16,0,16,10,-16,10,0,0
38,2059102261,0,-16,16,0,16,10,-16,10,0,10
39,2059102323,0,-16,16,0,16,10,-16,10,0,20
40,2059102401,0,-16,16,0,16,10,-16,10,10,0
41,2059102464,0,-16,16,0,16,10,-16,10,10,10
42,2059102526,0,-16,16,0,16,10,-16,10,10,20
43,2059102589,0,-16,16,0,16,10,-16,10,20,0
44,2059102651,0,-16,16,0,16,10,-16,10,20,10
45,2059102714,0,-16,16,0,16,10,-16,10,20,20
46,2059102761,0,-16,16,0,16,10,-16,20,0,0
47,2059102839,0,-16,16,0,16,10,-16,20,0,10
48,2059102901,0,-16,16,0,16,10,-16,20,0,20
