"run","randomSeed","numTanksBlue","default_observer_minPycor","default_observer_maxPycor","numSoldierBlue","default_observer_maxPxcor","numRidersBlue","default_observer_minPxcor","numTanksRed","numRidersRed","numSoldierRed"
1,2059621696,0,-16,16,0,16,0,-16,0,0,0
2,2059622664,0,-16,16,0,16,0,-16,0,0,10
3,2059622883,0,-16,16,0,16,0,-16,0,0,20
4,2059623024,0,-16,16,0,16,0,-16,0,10,0
5,2059623211,0,-16,16,0,16,0,-16,0,10,10
6,2059623352,0,-16,16,0,16,0,-16,0,10,20
7,2059623508,0,-16,16,0,16,0,-16,0,20,0
8,2059623711,0,-16,16,0,16,0,-16,0,20,10
9,2059623821,0,-16,16,0,16,0,-16,0,20,20
10,2059623930,0,-16,16,0,16,0,-16,10,0,0
11,2059624008,0,-16,16,0,16,0,-16,10,0,10
12,2059624133,0,-16,16,0,16,0,-16,10,0,20
13,2059624243,0,-16,16,0,16,0,-16,10,10,0
14,2059624289,0,-16,16,0,16,0,-16,10,10,10
15,2059624383,0,-16,16,0,16,0,-16,10,10,20
16,2059624477,0,-16,16,0,16,0,-16,10,20,0
17,2059624555,0,-16,16,0,16,0,-16,10,20,10
18,2059624649,0,-16,16,0,16,0,-16,10,20,20
19,2059624711,0,-16,16,0,16,0,-16,20,0,0
20,2059624805,0,-16,16,0,16,0,-16,20,0,10
21,2059624883,0,-16,16,0,16,0,-16,20,0,20
22,2059624946,0,-16,16,0,16,0,-16,20,10,0
23,2059625008,0,-16,16,0,16,0,-16,20,10,10
24,2059625102,0,-16,16,0,16,0,-16,20,10,20
25,2059625149,0,-16,16,0,16,0,-16,20,20,0
26,2059625243,0,-16,16,0,16,0,-16,20,20,10
27,2059625321,0,-16,16,0,16,0,-16,20,20,20
28,2059625399,0,-16,16,0,16,10,-16,0,0,0
29,2059625493,0,-16,16,0,16,10,-16,0,0,10
30,2059625539,0,-16,16,0,16,10,-16,0,0,20
31,2059625618,0,-16,16,0,16,10,-16,0,10,0
32,2059625711,0,-16,16,0,16,10,-16,0,10,10
33,2059625774,0,-16,16,0,16,10,-16,0,10,20
34,2059625805,0,-16,16,0,16,10,-16,0,20,0
35,2059625852,0,-16,16,0,16,10,-16,0,20,10
36,2059625899,0,-16,16,0,16,10,-16,0,20,20
